GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TicTacToe,controller,GameAI,29,844,8,68,3,77,8,43,0,13
TicTacToe,controller,SessionController,2,32,0,2,1,11,1,4,1,3
TicTacToe,controller,GameController,56,188,12,18,11,30,11,10,1,5
TicTacToe,controller,Find,6,15,0,0,2,6,2,2,2,2
TicTacToe,data,Direction,9,49,0,0,0,5,2,2,2,2
TicTacToe,data,Game,120,118,2,6,26,29,18,12,16,10
TicTacToe,data,Session,20,14,0,0,2,7,2,4,2,4
TicTacToe,data,Square,9,39,0,0,0,4,2,2,2,2
TicTacToe,data,Move,34,0,0,0,9,0,6,0,6,0
TicTacToe,data,Position,12,43,4,4,6,13,5,5,1,5
TicTacToe,data,Opponents,21,0,0,0,8,0,4,0,4,0
TicTacToe,repo,SessionRepository,8,19,0,0,3,5,2,4,2,4
TicTacToe,repo,GameRepository,8,20,0,0,3,5,2,4,2,4
TicTacToe,services,SecureService,23,0,2,0,5,0,3,0,2,0
TicTacToe,services,OpponentService,28,0,0,0,6,0,3,0,3,0
TicTacToe,services,GameService,151,0,0,0,25,0,7,0,7,0
TicTacToe,services,SessionService,84,0,4,0,21,0,7,0,5,0
